2020년 11월 관광객입도현황,,,,,,
□ 형태별,,,,,,(단위 : 명)
구                  분,,,, 2020년 ,2019년,증감율(%)
총                  계,,,월계,"1,143,700","1,323,551",-13.6
,,,누계,"9,610,580","13,994,513",-31.3
내국인,소              계,,월계,"1,138,369","1,177,768",-3.3
,,,누계,"9,400,616","12,416,232",-24.3
,개 별 여 행,,월계,"1,060,958","1,027,256",3.3
,,,누계,"9,049,623","10,107,195",-10.5
,부분패키지,,월계,"18,842","76,482",-75.4
,,,누계,"198,196","1,578,837",-87.4
,패  키  지,,월계,"58,569","74,030",-20.9
,,,누계,"152,797","730,200",-79.1
외       국       인,,,월계,"5,331","145,783",-96.3
,,,누계,"209,964","1,578,281",-86.7
,,,,,,
□ 목적별,,,,,,(단위 : 명)
구                  분,,,, 2020년 ,2019년,증감율(%)
총                  계,,,월계,"1,143,700","1,323,551",-13.6
,,,누계,"9,610,580","13,994,513",-31.3
내   국   인,소              계,,월계,"1,138,369","1,177,768",-3.3
,,,누계,"9,400,616","12,416,232",-24.3
,레 저 스 포 츠,,월계,"145,018","159,208",-8.9
,,,누계,"726,194","1,505,340",-51.8
,회 의 및 업 무,,월계,"63,142","45,887",37.6
,,,누계,"672,257","705,099",-4.7
,휴 양 및 관 람,,월계,"827,550","841,307",-1.6
,,,누계,"7,031,349","9,106,747",-22.8
,친  지  방  문,,월계,"87,984","89,593",-1.8
,,,누계,"843,995","697,135",21.1
,교  육  여  행,,월계,82,"23,770",-99.7
,,,누계,446,"273,964",-99.8
,기  타  방  문,,월계,"14,593","18,003",-18.9
,,,누계,"126,375","127,947",-1.2
외    국    인,소              계,,월계,"5,331","145,783",-96.3
,,,누계,"209,964","1,578,281",-86.7
,아시아,일          본,월계,75,"4,403",-98.3
,,,누계,"7,609","83,006",-90.8
,,중          국,월계,509,"96,425",-99.5
,,,누계,"102,843","984,756",-89.6
,,홍          콩,월계,51,"4,019",-98.7
,,,누계,"10,165","50,572",-79.9
,,대          만,월계,35,"5,434",-99.4
,,,누계,"10,165","81,538",-87.5
,,싱    가    폴,월계,15,"1,909",-99.2
,,,누계,"2,679","24,435",-89
,,말 레 이 시 아,월계,103,"6,645",-98.4
,,,누계,"10,063","60,388",-83.3
,,인 도 네 시 아,월계,94,"1,715",-94.5
,,,누계,"4,945","20,055",-75.3
,,베    트    남,월계,150,"2,295",-93.5
,,,누계,"4,550","26,720",-83
,,태          국,월계,53,"5,690",-99.1
,,,누계,"11,160","50,628",-78
,,기          타,월계,916,"4,007",-77.1
,,,누계,"10,958","48,886",-77.6
,서구등,미          국,월계,887,"3,332",-73.4
,,,누계,"9,171","37,226",-75.4
,,기          타,월계,"2,443","9,909",-75.3
,,,누계,"25,656","110,071",-76.7
