2020. 7. 관광통계,,,,,,,,,,,,
,,,,,,,,,"(단위: 명, %)",,,
대륙,국적,7월,,,,1~7월,,,,,,
,,2020,2019,성장률,구성비,2020,2019,성장률,구성비,,,
전체 방한 외래관광객 수,,"61,012","1,448,067",-95.8 ,100.0 ,"2,199,588 ","9,887,281 ",-77.8 ,100.0 ,,,
전체 국민 해외관광객 수,,"65,936","2,642,585",-97.5 ,100.0 ,"3,886,691 ","17,650,434 ",-78.0 ,100.0 ,,,
아시아주,중국,"9,738 ","519,132 ",-98.1 ,16.0 ,"626,210 ","3,321,618 ",-81.1 ,28.5 ,,,
,일본,755 ,"274,830 ",-99.7 ,1.2 ,"425,541 ","1,928,516 ",-77.9 ,19.3 ,,,
,대만,305 ,"113,587 ",-99.7 ,0.5 ,"164,870 ","727,898 ",-77.3 ,7.5 ,,,
,홍콩,78 ,"59,036 ",-99.9 ,0.1 ,"88,389 ","387,170 ",-77.2 ,4.0 ,,,
,마카오,6 ,"5,246 ",-99.9 ,0.0 ,"5,878 ","25,672 ",-77.1 ,0.3 ,,,
,필리핀,"10,166 ","29,074 ",-65.0 ,16.7 ,"71,390 ","285,384 ",-75.0 ,3.2 ,,,
,인도네시아,"4,089 ","18,260 ",-77.6 ,6.7 ,"48,793 ","159,086 ",-69.3 ,2.2 ,,,
,태국,609 ,"37,278 ",-98.4 ,1.0 ,"74,030 ","331,002 ",-77.6 ,3.4 ,,,
,베트남,"1,060 ","52,521 ",-98.0 ,1.7 ,"74,663 ","327,800 ",-77.2 ,3.4 ,,,
,인도,"3,694 ","10,432 ",-64.6 ,6.1 ,"22,793 ","78,098 ",-70.8 ,1.0 ,,,
,말레이시아,136 ,"16,831 ",-99.2 ,0.2 ,"47,479 ","207,650 ",-77.1 ,2.2 ,,,
,싱가포르,44 ,"10,992 ",-99.6 ,0.1 ,"17,057 ","120,908 ",-85.9 ,0.8 ,,,
,몽골,81 ,"8,766 ",-99.1 ,0.1 ,"20,295 ","61,291 ",-66.9 ,0.9 ,,,
,우즈베키스탄,769 ,"7,405 ",-89.6 ,1.3 ,"14,824 ","50,225 ",-70.5 ,0.7 ,,,
,미얀마,"3,803 ","5,421 ",-29.8 ,6.2 ,"18,739 ","43,229 ",-56.7 ,0.9 ,,,
,GCC,82 ,"4,638 ",-98.2 ,0.1 ,"3,215 ","19,844 ",-83.8 ,0.1 ,,,
,카자흐스탄,401 ,"4,953 ",-91.9 ,0.7 ,"8,869 ","31,248 ",-71.6 ,0.4 ,,,
,터키,271 ,"2,962 ",-90.9 ,0.4 ,"4,691 ","17,197 ",-72.7 ,0.2 ,,,
,캄보디아,322 ,"2,565 ",-87.4 ,0.5 ,"9,447 ","24,770 ",-61.9 ,0.4 ,,,
,스리랑카,326 ,"1,355 ",-75.9 ,0.5 ,"4,080 ","10,487 ",-61.1 ,0.2 ,,,
,방글라데시,245 ,"1,196 ",-79.5 ,0.4 ,"3,458 ","9,606 ",-64.0 ,0.2 ,,,
,파키스탄,125 ,"1,087 ",-88.5 ,0.2 ,"3,181 ","7,891 ",-59.7 ,0.1 ,,,
,이스라엘,5 ,"1,320 ",-99.6 ,0.0 ,"1,266 ","9,069 ",-86.0 ,0.1 ,,,
