2020. 7. 관광통계,,,,,,,,,,,,
,,,,,,,,,"(단위: 명, %)",,,
,이란,12 ,318 ,-96.2 ,0.0 ,409 ,"2,166 ",-81.1 ,0.0 ,,,
,아시아 기타,613 ,"5,878 ",-89.6 ,1.0 ,"12,250 ","40,245 ",-69.6 ,0.6 ,,,
,아시아주소계,"37,735","1,195,083",-96.8 ,61.8 ,"1,771,817 ","8,228,070 ",-78.5 ,80.6 ,,,
미주,미국,"11,922 ","97,428 ",-87.8 ,19.5 ,"157,055 ","605,909 ",-74.1 ,7.1 ,,,
,캐나다,848 ,"16,103 ",-94.7 ,1.4 ,"28,152 ","117,717 ",-76.1 ,1.3 ,,,
,브라질,62 ,"1,979 ",-96.9 ,0.1 ,"3,494 ","12,801 ",-72.7 ,0.2 ,,,
,멕시코,151 ,"3,253 ",-95.4 ,0.2 ,"4,415 ","16,966 ",-74.0 ,0.2 ,,,
,미주 기타,130 ,"3,494 ",-96.3 ,0.2 ,"5,968 ","22,714 ",-73.7 ,0.3 ,,,
,미주소계,"13,113","122,257",-89.3 ,21.5 ,"199,084 ","776,107 ",-74.3 ,9.1 ,,,
구주,러시아,"2,004 ","28,421 ",-92.9 ,3.3 ,"63,292 ","197,434 ",-67.9 ,2.9 ,,,
,영국,632 ,"10,826 ",-94.2 ,1.0 ,"17,593 ","81,047 ",-78.3 ,0.8 ,,,
,독일,"1,082 ","9,675 ",-88.8 ,1.8 ,"18,078 ","66,456 ",-72.8 ,0.8 ,,,
,프랑스,671 ,"10,716 ",-93.7 ,1.1 ,"13,759 ","60,159 ",-77.1 ,0.6 ,,,
,이탈리아,136 ,"4,388 ",-96.9 ,0.2 ,"5,441 ","26,459 ",-79.4 ,0.2 ,,,
,네덜란드,745 ,"4,141 ",-82.0 ,1.2 ,"7,729 ","22,002 ",-64.9 ,0.4 ,,,
,우크라이나,"1,160 ","2,230 ",-48.0 ,1.9 ,"6,772 ","15,852 ",-57.3 ,0.3 ,,,
,스페인,76 ,"3,066 ",-97.5 ,0.1 ,"3,108 ","15,485 ",-79.9 ,0.1 ,,,
,루마니아,228 ,945 ,-75.9 ,0.4 ,"2,065 ","7,061 ",-70.8 ,0.1 ,,,
,노르웨이,32 ,"1,494 ",-97.9 ,0.1 ,"1,247 ","7,195 ",-82.7 ,0.1 ,,,
,스웨덴,33 ,"1,727 ",-98.1 ,0.1 ,"1,819 ","11,016 ",-83.5 ,0.1 ,,,
,폴란드,319 ,"1,954 ",-83.7 ,0.5 ,"3,840 ","13,265 ",-71.1 ,0.2 ,,,
,스위스,41 ,"2,029 ",-98.0 ,0.1 ,"1,562 ","9,937 ",-84.3 ,0.1 ,,,
,포르투갈,26 ,957 ,-97.3 ,0.0 ,"1,406 ","5,991 ",-76.5 ,0.1 ,,,
,오스트리아,104 ,"1,174 ",-91.1 ,0.2 ,"1,824 ","6,628 ",-72.5 ,0.1 ,,,
,핀란드,113 ,"1,013 ",-88.8 ,0.2 ,"2,071 ","7,829 ",-73.5 ,0.1 ,,,
,벨기에,90 ,"1,549 ",-94.2 ,0.1 ,"1,851 ","8,228 ",-77.5 ,0.1 ,,,
,크로아티아,124 ,455 ,-72.7 ,0.2 ,"1,428 ","3,432 ",-58.4 ,0.1 ,,,
,그리스,151 ,799 ,-81.1 ,0.2 ,"2,084 ","5,296 ",-60.6 ,0.1 ,,,
,불가리아,107 ,543 ,-80.3 ,0.2 ,892 ,"3,584 ",-75.1 ,0.0 ,,,
,덴마크,95 ,"1,507 ",-93.7 ,0.2 ,"1,637 ","7,460 ",-78.1 ,0.1 ,,,
,아일랜드,37 ,806 ,-95.4 ,0.1 ,"1,410 ","5,296 ",-73.4 ,0.1 ,,,
,구주 기타,333 ,"4,106 ",-91.9 ,0.5 ,"6,947 ","24,859 ",-72.1 ,0.3 ,,,
,구주소계,"8,339","94,521",-91.2 ,13.7 ,"167,855 ","611,971 ",-72.6 ,7.6 ,,,
대양주,오스트레일리아,205 ,"11,840 ",-98.3 ,0.3 ,"22,233 ","93,416 ",-76.2 ,1.0 ,,,
,뉴질랜드,117 ,"2,799 ",-95.8 ,0.2 ,"6,067 ","20,359 ",-70.2 ,0.3 ,,,
,대양주 기타,117 ,566 ,-79.3 ,0.2 ,496 ,"3,751 ",-86.8 ,0.0 ,,,
,대양주소계,439,"15,205",-97.1 ,0.7 ,"28,796 ","117,526 ",-75.5 ,1.3 ,,,
아프리카,남아프리카공화국,67 ,933 ,-92.8 ,0.1 ,"2,692 ","7,265 ",-62.9 ,0.1 ,,,
,아프리카 기타,376 ,"4,423 ",-91.5 ,0.6 ,"7,893 ","25,084 ",-68.5 ,0.4 ,,,
,아프리카소계,443,"5,356",-91.7 ,0.7 ,"10,585 ","32,349 ",-67.3 ,0.5 ,,,
기타,국적미상,10,58,-82.8 ,0.0 ,132 ,388 ,-66.0 ,0.0 ,,,
교포,교포,933,"15,587",-94.0 ,1.5 ,"21,319 ","120,870 ",-82.4 ,1.0 ,,,
"*GCC 6개국(UAE, 사우디아라비아, 쿠웨이트, 오만, 카타르, 바레인)",,,,,,,,,,,,
