2020. 3. 관광통계,,,,,,,,,,,,
,,,,,,,,,"(단위: 명, %)",,,
대륙,국적,3월,,,,1~3월,,,,,,
,,2020,2019,성장률,구성비,2020,2019,성장률,구성비,,,
전체 방한 외래관광객 수,,"83,497","1,535,641",-94.6 ,100.0 ,"2,041,417 ","3,842,246 ",-46.9 ,100.0 ,,,
전체 국민 해외관광객 수,,"143,366","2,334,153",-93.9 ,100.0 ,"3,703,175 ","7,864,430 ",-52.9 ,100.0 ,,,
아시아주,중국,"16,595 ","487,623 ",-96.6 ,19.9 ,"602,362 ","1,333,816 ",-54.8 ,29.5 ,,,
,일본,"8,347 ","375,119 ",-97.8 ,10.0 ,"423,515 ","794,845 ",-46.7 ,20.7 ,,,
,대만,585 ,"98,510 ",-99.4 ,0.7 ,"163,981 ","281,023 ",-41.6 ,8.0 ,,,
,홍콩,262 ,"46,068 ",-99.4 ,0.3 ,"88,190 ","133,276 ",-33.8 ,4.3 ,,,
,마카오,16 ,"3,049 ",-99.5 ,0.0 ,"5,866 ","9,585 ",-38.8 ,0.3 ,,,
,필리핀,"4,539 ","38,701 ",-88.3 ,5.4 ,"55,573 ","98,468 ",-43.6 ,2.7 ,,,
,인도네시아,"3,760 ","25,626 ",-85.3 ,4.5 ,"39,003 ","62,583 ",-37.7 ,1.9 ,,,
,태국,"2,371 ","53,100 ",-95.5 ,2.8 ,"72,614 ","133,654 ",-45.7 ,3.6 ,,,
,베트남,"4,048 ","46,991 ",-91.4 ,4.8 ,"64,593 ","109,355 ",-40.9 ,3.2 ,,,
,인도,"1,587 ","10,646 ",-85.1 ,1.9 ,"16,675 ","27,626 ",-39.6 ,0.8 ,,,
,말레이시아,890 ,"40,789 ",-97.8 ,1.1 ,"46,980 ","90,338 ",-48.0 ,2.3 ,,,
,싱가포르,219 ,"22,105 ",-99.0 ,0.3 ,"16,866 ","41,752 ",-59.6 ,0.8 ,,,
,몽골,674 ,"8,724 ",-92.3 ,0.8 ,"19,396 ","27,685 ",-29.9 ,1.0 ,,,
,우즈베키스탄,782 ,"8,405 ",-90.7 ,0.9 ,"13,805 ","21,308 ",-35.2 ,0.7 ,,,
,미얀마,"2,519 ","7,021 ",-64.1 ,3.0 ,"12,492 ","17,677 ",-29.3 ,0.6 ,,,
,GCC,77 ,"3,021 ",-97.5 ,0.1 ,"3,024 ","6,275 ",-51.8 ,0.1 ,,,
,카자흐스탄,567 ,"4,915 ",-88.5 ,0.7 ,"8,096 ","12,263 ",-34.0 ,0.4 ,,,
,터키,242 ,"2,532 ",-90.4 ,0.3 ,"4,234 ","6,082 ",-30.4 ,0.2 ,,,
,캄보디아,"1,183 ","2,501 ",-52.7 ,1.4 ,"8,008 ","8,911 ",-10.1 ,0.4 ,,,
,스리랑카,441 ,"1,494 ",-70.5 ,0.5 ,"2,906 ","4,297 ",-32.4 ,0.1 ,,,
,방글라데시,566 ,"1,704 ",-66.8 ,0.7 ,"2,861 ","4,607 ",-37.9 ,0.1 ,,,
,파키스탄,474 ,"1,282 ",-63.0 ,0.6 ,"2,525 ","3,753 ",-32.7 ,0.1 ,,,
,이스라엘,68 ,"1,613 ",-95.8 ,0.1 ,"1,223 ","3,179 ",-61.5 ,0.1 ,,,
,이란,34 ,382 ,-91.1 ,0.0 ,370 ,895 ,-58.7 ,0.0 ,,,
,아시아 기타,"1,561 ","6,719 ",-76.8 ,1.9 ,"10,927 ","16,423 ",-33.5 ,0.5 ,,,
,아시아주소계,"52,407","1,298,640",-96.0 ,62.8 ,"1,686,085 ","3,249,676 ",-48.1 ,82.6 ,,,
미주,미국,"10,570 ","84,275 ",-87.5 ,12.7 ,"120,264 ","204,744 ",-41.3 ,5.9 ,,,
,캐나다,"2,405 ","18,670 ",-87.1 ,2.9 ,"25,260 ","44,681 ",-43.5 ,1.2 ,,,
,브라질,291 ,"1,673 ",-82.6 ,0.3 ,"3,280 ","4,632 ",-29.2 ,0.2 ,,,
,멕시코,388 ,"2,201 ",-82.4 ,0.5 ,"4,044 ","5,489 ",-26.3 ,0.2 ,,,
,미주 기타,456 ,"3,208 ",-85.8 ,0.5 ,"5,571 ","7,782 ",-28.4 ,0.3 ,,,
,미주소계,"14,110","110,027",-87.2 ,16.9 ,"158,419 ","267,328 ",-40.7 ,7.8 ,,,
구주,러시아,"5,300 ","27,992 ",-81.1 ,6.3 ,"56,348 ","73,187 ",-23.0 ,2.8 ,,,
,영국,"1,173 ","12,813 ",-90.8 ,1.4 ,"15,856 ","30,837 ",-48.6 ,0.8 ,,,
,독일,"1,195 ","11,142 ",-89.3 ,1.4 ,"13,411 ","24,858 ",-46.0 ,0.7 ,,,
,프랑스,"1,217 ","7,469 ",-83.7 ,1.5 ,"12,319 ","18,873 ",-34.7 ,0.6 ,,,
,이탈리아,248 ,"3,583 ",-93.1 ,0.3 ,"4,846 ","8,698 ",-44.3 ,0.2 ,,,
,네덜란드,597 ,"2,898 ",-79.4 ,0.7 ,"5,220 ","7,524 ",-30.6 ,0.3 ,,,
,우크라이나,630 ,"2,368 ",-73.4 ,0.8 ,"4,203 ","6,710 ",-37.4 ,0.2 ,,,
,스페인,255 ,"2,007 ",-87.3 ,0.3 ,"2,883 ","4,748 ",-39.3 ,0.1 ,,,
,루마니아,173 ,"1,044 ",-83.4 ,0.2 ,"1,500 ","2,687 ",-44.2 ,0.1 ,,,
,노르웨이,97 ,858 ,-88.7 ,0.1 ,"1,081 ","2,236 ",-51.7 ,0.1 ,,,
,스웨덴,188 ,"1,458 ",-87.1 ,0.2 ,"1,685 ","3,367 ",-50.0 ,0.1 ,,,
,폴란드,322 ,"1,960 ",-83.6 ,0.4 ,"3,086 ","4,550 ",-32.2 ,0.2 ,,,
,스위스,105 ,"1,224 ",-91.4 ,0.1 ,"1,433 ","2,848 ",-49.7 ,0.1 ,,,
,포르투갈,61 ,824 ,-92.6 ,0.1 ,"1,080 ","2,058 ",-47.5 ,0.1 ,,,
,오스트리아,96 ,911 ,-89.5 ,0.1 ,"1,454 ","2,433 ",-40.2 ,0.1 ,,,
