2020년 7월 관광객입도현황,,,,,,
□ 형태별,,,,,,(단위 : 명)
구                  분,,,, 2020년 ,2019년,증감율(%)
총                  계,,,월계,"992,476","1,310,076",-24.2
,,,누계,"5,525,865","8,645,679",-36.1
내국인,소              계,,월계,"988,094","1,157,447",-14.6
,,,누계,"5,336,526","7,708,435",-30.8
,개 별 여 행,,월계,"968,395","924,637",4.7
,,,누계,"5,175,841","6,091,432",-15
,부분패키지,,월계,"12,874","200,162",-93.6
,,,누계,"118,093","1,155,726",-89.8
,패  키  지,,월계,"6,825","32,648",-79.1
,,,누계,"42,592","461,277",-90.8
외       국       인,,,월계,"4,382","152,629",-97.1
,,,누계,"189,339","937,244",-79.8
,,,,,,
□ 목적별,,,,,,(단위 : 명)
구                  분,,,, 2020년 , 2019년 ,증감율(%)
총                  계,,,월계,"992,476","1,310,076",-24.2
,,,누계,"5,525,865","8,645,679",-36.1
내   국   인,소              계,,월계,"988,094","1,157,447",-14.6
,,,누계,"5,336,526","7,708,435",-30.8
,레 저 스 포 츠,,월계,"49,742","58,971",-15.7
,,,누계,"341,072","935,738",-63.6
,회 의 및 업 무,,월계,"68,728","63,065",9
,,,누계,"410,981","437,092",-6
,휴 양 및 관 람,,월계,"749,450","945,970",-20.8
,,,누계,"3,952,593","5,714,973",-30.8
,친  지  방  문,,월계,"109,765","76,775",43
,,,누계,"553,443","400,949",38
,교  육  여  행,,월계, - ,"2,486",-100
,,,누계,264,"165,813",-99.8
,기  타  방  문,,월계,"10,409","10,180",2.2
,,,누계,"78,173","53,870",45.1
외    국    인,소              계,,월계,"4,382","152,629",-97.1
,,,누계,"189,339","937,244",-79.8
,아시아,일          본,월계,34,"8,475",-99.6
,,,누계,"7,355","50,941",-85.6
,,중          국,월계,472,"102,692",-99.5
,,,누계,"100,331","559,051",-82.1
,,홍          콩,월계,16,"5,357",-99.7
,,,누계,"9,997","31,384",-68.1
,,대          만,월계,41,"8,919",-99.5
,,,누계,"9,991","53,159",-81.2
,,싱    가    폴,월계,48,"1,665",-97.1
,,,누계,"2,438","16,827",-85.5
,,말 레 이 시 아,월계,148,"4,073",-96.4
,,,누계,"9,300","38,761",-76
,,인 도 네 시 아,월계,128,"1,410",-90.9
,,,누계,"4,243","14,065",-69.8
,,베    트    남,월계,95,"1,849",-94.9
,,,누계,"4,086","17,818",-77.1
,,태         국,월계,119,"2,687",-95.6
,,,누계,"10,633","29,296",-63.7
,,기          타,월계,696,"4,086",-83
,,,누계,"7,636","30,982",-75.4
,서구등,미          국,월계,879,"2,851",-69.2
,,,누계,"6,138","24,251",-74.7
,,기          타,월계,"1,706","8,565",-80.1
,,,누계,"17,191","70,709",-75.7
