2020년 10월 관광객입도현황,,,,,,
□ 형태별,,,,,,(단위 : 명)
구                  분,,,, 2020년 ,2019년,증감율(%)
총                  계,,,월계,"1,078,243","1,422,312",-24.2
,,,누계,"8,466,880","12,670,962",-33.2
내국인,소              계,,월계,"1,072,455","1,254,419",-14.5
,,,누계,"8,262,247","11,238,464",-26.5
,개 별 여 행,,월계,"1,028,256","1,044,280",-1.5
,,,누계,"7,988,665","9,079,939",-12
,부분패키지,,월계,"24,453","121,052",-79.8
,,,누계,"179,354","1,502,355",-88.1
,패  키  지,,월계,"19,746","89,087",-77.8
,,,누계,"94,228","656,170",-85.6
외       국       인,,,월계,"5,788","167,893",-96.6
,,,누계,"204,633","1,432,498",-85.7
,,,,,,
□ 목적별,,,,,,(단위 : 명)
구                  분,,,, 2020년 ,2019년,증감율(%)
총                  계,,,월계,"1,078,243","1,422,312",-24.2
,,,누계,"8,466,880","12,670,962",-33.2
내   국   인,소              계,,월계,"1,072,455","1,254,419",-14.5
,,,누계,"8,262,247","11,238,464",-26.5
,레 저 스 포 츠,,월계,"140,142","193,546",-27.6
,,,누계,"581,176","1,346,132",-56.8
,회 의 및 업 무,,월계,"112,996","118,238",-4.4
,,,누계,"609,115","659,212",-7.6
,휴 양 및 관 람,,월계,"704,112","729,136",-3.4
,,,누계,"6,203,799","8,265,440",-24.9
,친  지  방  문,,월계,"101,296","121,053",-16.3
,,,누계,"756,011","607,542",24.4
,교  육  여  행,,월계, - ,"60,936",-100
,,,누계,364,"250,194",-99.9
,기  타  방  문,,월계,"13,909","31,510",-55.9
,,,누계,"111,782","109,944",1.7
외    국    인,소              계,,월계,"5,788","167,893",-96.6
,,,누계,"204,633","1,432,498",-85.7
,아시아,일          본,월계,79,"7,425",-98.9
,,,누계,"7,534","78,603",-90.4
,,중          국,월계,755,"108,798",-99.3
,,,누계,"102,334","888,331",-88.5
,,홍          콩,월계,8,"4,907",-99.8
,,,누계,"10,114","46,553",-78.3
,,대          만,월계,31,"8,195",-99.6
,,,누계,"10,130","76,104",-86.7
,,싱    가    폴,월계,60,"2,140",-97.2
,,,누계,"2,664","22,526",-88.2
,,말 레 이 시 아,월계,228,"6,366",-96.4
,,,누계,"9,960","53,743",-81.5
,,인 도 네 시 아,월계,213,"1,473",-85.5
,,,누계,"4,851","18,340",-73.5
,,베    트    남,월계,106,"3,238",-96.7
,,,누계,"4,400","24,425",-82
,,태          국,월계,116,"5,903",-98
,,,누계,"11,107","44,938",-75.3
,,기          타,월계,907,"4,431",-79.5
,,,누계,"10,042","44,879",-77.6
,서구등,미          국,월계,884,"3,866",-77.1
,,,누계,"8,284","33,894",-75.6
,,기          타,월계,"2,401","11,151",-78.5
,,,누계,"23,213","100,162",-76.8
