기준 일자 ,세계 코로나 확진자 수
1월 31일,9837
2월 29일,87598
3월 31일,870562
4월 30일,3187442
5월 31일,6095853
6월 30일,10387959
7월 31일,17545840
8월 31일,25515036
9월 30일,33998543
10월 31일,46113660
11월 30일,63277771
12월 31일,83341658
