2020년 12월 관광객입도현황,,,,,,
□ 형태별,,,,,,(단위 : 명)
구                  분,,,, 2020년 ,2019년,증감율(%)
총                  계,,,월계,"625,865","1,291,623",-51.5
,,,누계,"10,236,445","15,286,136",-33
내국인,소              계,,월계,"623,062","1,143,772",-45.5
,,,누계,"10,023,678","13,560,004",-26.1
,개 별 여 행,,월계,"605,225","1,111,007",-45.5
,,,누계,"9,654,848","11,218,202",-13.9
,부분패키지,,월계,"9,259","23,817",-61.1
,,,누계,"207,455","1,602,654",-87.1
,패  키  지,,월계,"8,578","8,948",-4.1
,,,누계,"161,375","739,148",-78.2
외       국       인,,,월계,"2,803","147,851",-98.1
,,,누계,"212,767","1,726,132",-87.7
,,,,,,
□ 목적별,,,,,,(단위 : 명)
구                  분,,,, 2020년 ,2019년,증감율(%)
총                  계,,,월계,"625,865","1,291,623",-51.5
,,,누계,"10,236,445","15,286,136",-33
내   국   인,소              계,,월계,"623,062","1,143,772",-45.5
,,,누계,"10,023,678","13,560,004",-26.1
,레 저 스 포 츠,,월계,"45,276","83,319",-45.7
,,,누계,"771,470","1,588,659",-51.4
,회 의 및 업 무,,월계,"52,828","62,792",-15.9
,,,누계,"725,085","767,891",-5.6
,휴 양 및 관 람,,월계,"450,468","930,059",-51.6
,,,누계,"7,481,817","10,036,806",-25.5
,친  지  방  문,,월계,"52,927","45,471",16.4
,,,누계,"896,922","742,606",20.8
,교  육  여  행,,월계, - ,"2,452",-100
,,,누계,446,"276,416",-99.8
,기  타  방  문,,월계,"21,563","19,679",9.6
,,,누계,"147,938","147,626",0.2
외    국    인,소              계,,월계,"2,803","147,851",-98.1
,,,누계,"212,767","1,726,132",-87.7
,아시아,일          본,월계,29,"4,969",-99.4
,,,누계,"7,638","87,975",-91.3
,,중          국,월계,445,"94,377",-99.5
,,,누계,"103,288","1,079,133",-90.4
,,홍          콩,월계,3,"5,696",-99.9
,,,누계,"10,168","56,268",-81.9
,,대          만,월계,20,"6,443",-99.7
,,,누계,"10,185","87,981",-88.4
,,싱    가    폴,월계,1,"1,910",-99.9
,,,누계,"2,680","26,345",-89.8
,,말 레 이 시 아,월계,29,"7,489",-99.6
,,,누계,"10,092","67,877",-85.1
,,인 도 네 시 아,월계,15,"2,237",-99.3
,,,누계,"4,960","22,292",-77.7
,,베    트    남,월계,63,"2,158",-97.1
,,,누계,"4,613","28,878",-84
,,태          국,월계,34,"6,705",-99.5
,,,누계,"11,194","57,333",-80.5
,,기          타,월계,500,"4,579",-89.1
,,,누계,"11,458","53,465",-78.6
,서구등,미          국,월계,525,"2,601",-79.8
,,,누계,"9,696","39,827",-75.7
,,기          타,월계,"1,139","8,687",-86.9
,,,누계,"26,795","118,758",-77.4
