2020. 10. 관광통계,,,,,,,,,,,,
,,,,,,,,,"(단위: 명, %)",,,
대륙,국적,10월,,,,1~10월,,,,,,
,,2020,2019,증감률,구성비,2020,2019,증감률,구성비,,,
전체 방한 외래관광객 수,,"61,585","1,656,195",-96.3 ,100.0 ,"2,395,010 ","14,589,439 ",-83.6 ,100.0 ,,,
전체 국민 해외관광객 수,,"71,970","2,153,847",-96.7 ,100.0 ,"4,124,347 ","24,281,745 ",-83.0 ,100.0 ,,,
아시아주,중국,"11,477 ","567,695 ",-98.0 ,18.6 ,"669,269 ","5,008,775 ",-86.6 ,27.9 ,,,
,일본,927 ,"248,541 ",-99.6 ,1.5 ,"428,537 ","2,757,828 ",-84.5 ,17.9 ,,,
,대만,299 ,"127,944 ",-99.8 ,0.5 ,"166,153 ","1,067,873 ",-84.4 ,6.9 ,,,
,홍콩,59 ,"65,544 ",-99.9 ,0.1 ,"88,730 ","564,583 ",-84.3 ,3.7 ,,,
,마카오,6 ,"4,504 ",-99.9 ,0.0 ,"5,900 ","39,224 ",-85.0 ,0.2 ,,,
,필리핀,"9,041 ","55,394 ",-83.7 ,14.7 ,"96,278 ","418,847 ",-77.0 ,4.0 ,,,
,인도네시아,"3,230 ","28,494 ",-88.7 ,5.2 ,"58,249 ","225,099 ",-74.1 ,2.4 ,,,
,태국,460 ,"65,878 ",-99.3 ,0.7 ,"75,794 ","465,762 ",-83.7 ,3.2 ,,,
,베트남,853 ,"64,820 ",-98.7 ,1.4 ,"78,901 ","479,820 ",-83.6 ,3.3 ,,,
,인도,"2,348 ","13,160 ",-82.2 ,3.8 ,"29,609 ","120,975 ",-75.5 ,1.2 ,,,
,말레이시아,180 ,"45,354 ",-99.6 ,0.3 ,"48,121 ","301,544 ",-84.0 ,2.0 ,,,
,싱가포르,134 ,"24,719 ",-99.5 ,0.2 ,"17,412 ","176,380 ",-90.1 ,0.7 ,,,
,몽골,75 ,"11,221 ",-99.3 ,0.1 ,"21,170 ","93,038 ",-77.2 ,0.9 ,,,
,우즈베키스탄,202 ,"8,375 ",-97.6 ,0.3 ,"15,504 ","75,639 ",-79.5 ,0.6 ,,,
,미얀마,"4,935 ","5,876 ",-16.0 ,8.0 ,"32,714 ","61,162 ",-46.5 ,1.4 ,,,
,GCC,184 ,"2,429 ",-92.4 ,0.3 ,"3,570 ","30,020 ",-88.1 ,0.1 ,,,
,카자흐스탄,233 ,"4,776 ",-95.1 ,0.4 ,"9,689 ","45,881 ",-78.9 ,0.4 ,,,
,터키,308 ,"2,893 ",-89.4 ,0.5 ,"5,819 ","25,907 ",-77.5 ,0.2 ,,,
,캄보디아,274 ,"3,339 ",-91.8 ,0.4 ,"10,019 ","34,357 ",-70.8 ,0.4 ,,,
,스리랑카,243 ,"1,449 ",-83.2 ,0.4 ,"4,724 ","15,955 ",-70.4 ,0.2 ,,,
,방글라데시,217 ,"1,715 ",-87.3 ,0.4 ,"4,166 ","15,069 ",-72.4 ,0.2 ,,,
,파키스탄,54 ,"1,010 ",-94.7 ,0.1 ,"3,401 ","11,551 ",-70.6 ,0.1 ,,,
,이스라엘,36 ,"2,820 ",-98.7 ,0.1 ,"1,351 ","14,836 ",-90.9 ,0.1 ,,,
,이란,20 ,501 ,-96.0 ,0.0 ,527 ,"3,639 ",-85.5 ,0.0 ,,,
,아시아 기타,403 ,"6,841 ",-94.1 ,0.7 ,"13,545 ","60,885 ",-77.8 ,0.6 ,,,
,아시아주소계,"36,198","1,365,292",-97.3 ,58.8 ,"1,889,152 ","12,114,649 ",-84.4 ,78.9 ,,,
미주,미국,"12,366 ","101,099 ",-87.8 ,20.1 ,"195,215 ","884,413 ",-77.9 ,8.2 ,,,
,캐나다,"1,354 ","20,624 ",-93.4 ,2.2 ,"31,996 ","173,254 ",-81.5 ,1.3 ,,,
,브라질,81 ,"2,452 ",-96.7 ,0.1 ,"3,776 ","19,939 ",-81.1 ,0.2 ,,,
,멕시코,223 ,"2,878 ",-92.3 ,0.4 ,"5,060 ","25,691 ",-80.3 ,0.2 ,,,
,미주 기타,124 ,"4,669 ",-97.3 ,0.2 ,"6,392 ","36,171 ",-82.3 ,0.3 ,,,
,미주소계,"14,148","131,722",-89.3 ,23.0 ,"242,439 ","1,139,468 ",-78.7 ,10.1 ,,,
구주,러시아,"2,240 ","33,379 ",-93.3 ,3.6 ,"69,318 ","289,779 ",-76.1 ,2.9 ,,,
,영국,522 ,"15,911 ",-96.7 ,0.8 ,"19,204 ","123,399 ",-84.4 ,0.8 ,,,
,독일,"1,143 ","13,322 ",-91.4 ,1.9 ,"21,885 ","103,607 ",-78.9 ,0.9 ,,,
,프랑스,"1,008 ","12,546 ",-92.0 ,1.6 ,"17,515 ","95,931 ",-81.7 ,0.7 ,,,
,이탈리아,231 ,"4,951 ",-95.3 ,0.4 ,"6,047 ","41,838 ",-85.5 ,0.3 ,,,
,네덜란드,"1,044 ","4,043 ",-74.2 ,1.7 ,"10,420 ","33,491 ",-68.9 ,0.4 ,,,
,우크라이나,812 ,"2,371 ",-65.8 ,1.3 ,"9,463 ","23,341 ",-59.5 ,0.4 ,,,
,스페인,107 ,"3,140 ",-96.6 ,0.2 ,"3,472 ","26,313 ",-86.8 ,0.1 ,,,
,루마니아,212 ,"1,295 ",-83.6 ,0.3 ,"2,752 ","10,967 ",-74.9 ,0.1 ,,,
,노르웨이,53 ,"1,218 ",-95.6 ,0.1 ,"1,419 ","10,270 ",-86.2 ,0.1 ,,,
,스웨덴,65 ,"2,303 ",-97.2 ,0.1 ,"2,073 ","16,819 ",-87.7 ,0.1 ,,,
,폴란드,306 ,"2,326 ",-86.8 ,0.5 ,"4,905 ","20,487 ",-76.1 ,0.2 ,,,
,스위스,46 ,"2,137 ",-97.8 ,0.1 ,"1,785 ","15,661 ",-88.6 ,0.1 ,,,
,포르투갈,39 ,"1,113 ",-96.5 ,0.1 ,"1,517 ","9,446 ",-83.9 ,0.1 ,,,
,오스트리아,111 ,"1,461 ",-92.4 ,0.2 ,"2,192 ","10,676 ",-79.5 ,0.1 ,,,
,핀란드,164 ,"1,473 ",-88.9 ,0.3 ,"2,665 ","11,641 ",-77.1 ,0.1 ,,,
,벨기에,129 ,"1,505 ",-91.4 ,0.2 ,"2,240 ","12,580 ",-82.2 ,0.1 ,,,
,크로아티아,97 ,498 ,-80.5 ,0.2 ,"1,793 ","5,038 ",-64.4 ,0.1 ,,,
,그리스,197 ,"1,014 ",-80.6 ,0.3 ,"2,733 ","8,111 ",-66.3 ,0.1 ,,,
,불가리아,99 ,655 ,-84.9 ,0.2 ,"1,252 ","5,623 ",-77.7 ,0.1 ,,,
,덴마크,62 ,"1,802 ",-96.6 ,0.1 ,"1,900 ","11,551 ",-83.6 ,0.1 ,,,
,아일랜드,41 ,"1,394 ",-97.1 ,0.1 ,"1,549 ","8,798 ",-82.4 ,0.1 ,,,
,구주 기타,430 ,"4,868 ",-91.2 ,0.7 ,"8,340 ","38,816 ",-78.5 ,0.3 ,,,
,구주소계,"9,158","114,725",-92.0 ,14.9 ,"196,439 ","934,183 ",-79.0 ,8.2 ,,,
대양주,오스트레일리아,170 ,"16,251 ",-99.0 ,0.3 ,"22,704 ","140,583 ",-83.9 ,0.9 ,,,
,뉴질랜드,86 ,"3,728 ",-97.7 ,0.1 ,"6,363 ","31,234 ",-79.6 ,0.3 ,,,
,대양주 기타,45 ,396 ,-88.6 ,0.1 ,622 ,"5,282 ",-88.2 ,0.0 ,,,
,대양주소계,301,"20,375",-98.5 ,0.5 ,"29,689 ","177,099 ",-83.2 ,1.2 ,,,
아프리카,남아프리카공화국,78 ,"1,175 ",-93.4 ,0.1 ,"2,951 ","11,524 ",-74.4 ,0.1 ,,,
,아프리카 기타,677 ,"4,927 ",-86.3 ,1.1 ,"9,809 ","39,994 ",-75.5 ,0.4 ,,,
,아프리카소계,755,"6,102",-87.6 ,1.2 ,"12,760 ","51,518 ",-75.2 ,0.5 ,,,
기타,국적미상,1,40,-97.5 ,0.0 ,140 ,534 ,-73.8 ,0.0 ,,,
교포,교포,"1,024","17,939",-94.3 ,1.7 ,"24,391 ","171,988 ",-85.8 ,1.0 ,,,
"*GCC 6개국(UAE, 사우디아라비아, 쿠웨이트, 오만, 카타르, 바레인)",,,,,,,,,,,,
