2020. 4. 관광통계,,,,,,,,,,,,
,,,,,,,,,"(단위: 명, %)",,,
대륙,국적,4월,,,,1~4월,,,,,,
,,2020,2019,성장률,구성비,2020,2019,성장률,구성비,,,
전체 방한 외래관광객 수,,"29,415","1,635,066",-98.2 ,100.0 ,"2,070,832 ","5,477,312 ",-62.2 ,100.0 ,,,
전체 국민 해외관광객 수,,"31,425","2,246,417",-98.6 ,100.0 ,"3,734,600 ","10,110,847 ",-63.1 ,100.0 ,,,
아시아주,중국,"3,935 ","493,250 ",-99.2 ,13.4 ,"606,297 ","1,827,066 ",-66.8 ,29.3 ,,,
,일본,360 ,"290,092 ",-99.9 ,1.2 ,"423,875 ","1,084,937 ",-60.9 ,20.5 ,,,
,대만,155 ,"113,072 ",-99.9 ,0.5 ,"164,136 ","394,095 ",-58.4 ,7.9 ,,,
,홍콩,35 ,"76,104 ",-100.0 ,0.1 ,"88,225 ","209,380 ",-57.9 ,4.3 ,,,
,마카오,1 ,"4,310 ",-100.0 ,0.0 ,"5,867 ","13,895 ",-57.8 ,0.3 ,,,
,필리핀,"1,130 ","66,525 ",-98.3 ,3.8 ,"56,703 ","164,993 ",-65.6 ,2.7 ,,,
,인도네시아,"1,864 ","31,427 ",-94.1 ,6.3 ,"40,867 ","94,010 ",-56.5 ,2.0 ,,,
,태국,299 ,"69,726 ",-99.6 ,1.0 ,"72,913 ","203,380 ",-64.1 ,3.5 ,,,
,베트남,"6,597 ","63,169 ",-89.6 ,22.4 ,"71,190 ","172,524 ",-58.7 ,3.4 ,,,
,인도,210 ,"12,933 ",-98.4 ,0.7 ,"16,885 ","40,559 ",-58.4 ,0.8 ,,,
,말레이시아,152 ,"43,726 ",-99.7 ,0.5 ,"47,132 ","134,064 ",-64.8 ,2.3 ,,,
,싱가포르,48 ,"23,307 ",-99.8 ,0.2 ,"16,914 ","65,059 ",-74.0 ,0.8 ,,,
,몽골,616 ,"7,582 ",-91.9 ,2.1 ,"20,012 ","35,267 ",-43.3 ,1.0 ,,,
,우즈베키스탄,7 ,"7,378 ",-99.9 ,0.0 ,"13,812 ","28,686 ",-51.9 ,0.7 ,,,
,미얀마,763 ,"7,272 ",-89.5 ,2.6 ,"13,255 ","24,949 ",-46.9 ,0.6 ,,,
,GCC,25 ,"3,265 ",-99.2 ,0.1 ,"3,049 ","9,540 ",-68.0 ,0.1 ,,,
,카자흐스탄,15 ,"4,618 ",-99.7 ,0.1 ,"8,111 ","16,881 ",-52.0 ,0.4 ,,,
