2020. 4. 관광통계,,,,,,,,,,,,
,,,,,,,,,"(단위: 명, %)",,,
,터키,26 ,"2,826 ",-99.1 ,0.1 ,"4,260 ","8,908 ",-52.2 ,0.2 ,,,
,캄보디아,547 ,"5,325 ",-89.7 ,1.9 ,"8,555 ","14,236 ",-39.9 ,0.4 ,,,
,스리랑카,183 ,"1,478 ",-87.6 ,0.6 ,"3,089 ","5,775 ",-46.5 ,0.1 ,,,
,방글라데시,11 ,"1,318 ",-99.2 ,0.0 ,"2,872 ","5,925 ",-51.5 ,0.1 ,,,
,파키스탄,67 ,"1,218 ",-94.5 ,0.2 ,"2,592 ","4,971 ",-47.9 ,0.1 ,,,
,이스라엘,21 ,"2,221 ",-99.1 ,0.1 ,"1,244 ","5,400 ",-77.0 ,0.1 ,,,
,이란,13 ,298 ,-95.6 ,0.0 ,383 ,"1,193 ",-67.9 ,0.0 ,,,
,아시아 기타,36 ,"6,762 ",-99.5 ,0.1 ,"10,963 ","23,185 ",-52.7 ,0.5 ,,,
,아시아주소계,"17,116","1,339,202",-98.7 ,58.2 ,"1,703,201 ","4,588,878 ",-62.9 ,82.2 ,,,
미주,미국,"6,417 ","102,524 ",-93.7 ,21.8 ,"126,681 ","307,268 ",-58.8 ,6.1 ,,,
,캐나다,422 ,"21,361 ",-98.0 ,1.4 ,"25,682 ","66,042 ",-61.1 ,1.2 ,,,
,브라질,52 ,"2,212 ",-97.6 ,0.2 ,"3,332 ","6,844 ",-51.3 ,0.2 ,,,
,멕시코,55 ,"3,298 ",-98.3 ,0.2 ,"4,099 ","8,787 ",-53.4 ,0.2 ,,,
,미주 기타,83 ,"4,422 ",-98.1 ,0.3 ,"5,654 ","12,204 ",-53.7 ,0.3 ,,,
,미주소계,"7,029","133,817",-94.7 ,23.9 ,"165,448 ","401,145 ",-58.8 ,8.0 ,,,
구주,러시아,"1,223 ","34,205 ",-96.4 ,4.2 ,"57,571 ","107,392 ",-46.4 ,2.8 ,,,
,영국,298 ,"16,707 ",-98.2 ,1.0 ,"16,154 ","47,544 ",-66.0 ,0.8 ,,,
,독일,"1,033 ","12,873 ",-92.0 ,3.5 ,"14,444 ","37,731 ",-61.7 ,0.7 ,,,
,프랑스,280 ,"11,616 ",-97.6 ,1.0 ,"12,599 ","30,489 ",-58.7 ,0.6 ,,,
,이탈리아,55 ,"4,381 ",-98.7 ,0.2 ,"4,901 ","13,079 ",-62.5 ,0.2 ,,,
,네덜란드,385 ,"4,089 ",-90.6 ,1.3 ,"5,605 ","11,613 ",-51.7 ,0.3 ,,,
,우크라이나,116 ,"2,574 ",-95.5 ,0.4 ,"4,319 ","9,284 ",-53.5 ,0.2 ,,,
,스페인,31 ,"2,678 ",-98.8 ,0.1 ,"2,914 ","7,426 ",-60.8 ,0.1 ,,,
,루마니아,82 ,"1,323 ",-93.8 ,0.3 ,"1,582 ","4,010 ",-60.5 ,0.1 ,,,
,노르웨이,35 ,"1,489 ",-97.6 ,0.1 ,"1,116 ","3,725 ",-70.0 ,0.1 ,,,
,스웨덴,35 ,"2,188 ",-98.4 ,0.1 ,"1,720 ","5,555 ",-69.0 ,0.1 ,,,
,폴란드,83 ,"2,301 ",-96.4 ,0.3 ,"3,169 ","6,851 ",-53.7 ,0.2 ,,,
,스위스,33 ,"2,236 ",-98.5 ,0.1 ,"1,466 ","5,084 ",-71.2 ,0.1 ,,,
,포르투갈,26 ,"1,192 ",-97.8 ,0.1 ,"1,106 ","3,250 ",-66.0 ,0.1 ,,,
,오스트리아,68 ,"1,140 ",-94.0 ,0.2 ,"1,522 ","3,573 ",-57.4 ,0.1 ,,,
,핀란드,35 ,"1,275 ",-97.3 ,0.1 ,"1,844 ","4,149 ",-55.6 ,0.1 ,,,
,벨기에,57 ,"1,490 ",-96.2 ,0.2 ,"1,490 ","4,253 ",-65.0 ,0.1 ,,,
,크로아티아,22 ,578 ,-96.2 ,0.1 ,859 ,"2,005 ",-57.2 ,0.0 ,,,
,그리스,76 ,798 ,-90.5 ,0.3 ,"1,561 ","2,983 ",-47.7 ,0.1 ,,,
,불가리아,43 ,742 ,-94.2 ,0.1 ,692 ,"1,954 ",-64.6 ,0.0 ,,,
,덴마크,27 ,"1,387 ",-98.1 ,0.1 ,"1,446 ","3,833 ",-62.3 ,0.1 ,,,
,아일랜드,22 ,986 ,-97.8 ,0.1 ,"1,308 ","2,918 ",-55.2 ,0.1 ,,,
,구주 기타,70 ,"4,333 ",-98.4 ,0.2 ,"6,259 ","13,272 ",-52.8 ,0.3 ,,,
,구주소계,"4,135","112,581",-96.3 ,14.1 ,"145,647 ","331,973 ",-56.1 ,7.0 ,,,
대양주,오스트레일리아,124 ,"19,938 ",-99.4 ,0.4 ,"21,780 ","54,817 ",-60.3 ,1.1 ,,,
,뉴질랜드,98 ,"3,802 ",-97.4 ,0.3 ,"5,838 ","10,841 ",-46.1 ,0.3 ,,,
,대양주 기타,13 ,471 ,-97.2 ,0.0 ,349 ,"1,943 ",-82.0 ,0.0 ,,,
,대양주소계,235,"24,211",-99.0 ,0.8 ,"27,967 ","67,601 ",-58.6 ,1.4 ,,,
아프리카,남아프리카공화국,22 ,"1,159 ",-98.1 ,0.1 ,"2,535 ","4,295 ",-41.0 ,0.1 ,,,
,아프리카 기타,177 ,"3,858 ",-95.4 ,0.6 ,"7,205 ","13,822 ",-47.9 ,0.3 ,,,
,아프리카소계,199,"5,017",-96.0 ,0.7 ,"9,740 ","18,117 ",-46.2 ,0.5 ,,,
기타,국적미상,3,64,-95.3 ,0.0 ,115 ,214 ,-46.3 ,0.0 ,,,
교포,교포,698,"20,174",-96.5 ,2.4 ,"18,714 ","69,384 ",-73.0 ,0.9 ,,,
"*GCC 6개국(UAE, 사우디아라비아, 쿠웨이트, 오만, 카타르, 바레인)",,,,,,,,,,,,
