2020. 8. 관광통계,,,,,,,,,,,,
,,,,,,,,,"(단위: 명, %)",,,
대륙,국적,8월,,,,1~8월,,,,,,
,,2020,2019,증감률,구성비,2020,2019,증감률,구성비,,,
전체 방한 외래관광객 수,,"68,797","1,586,299",-95.7 ,100.0 ,"2,268,385 ","11,473,580 ",-80.2 ,100.0 ,,,
전체 국민 해외관광객 수,,"88,888","2,427,634",-96.3 ,100.0 ,"3,975,579 ","20,078,068 ",-80.2 ,100.0 ,,,
아시아주,중국,"16,275 ","578,112 ",-97.2 ,23.7 ,"642,485 ","3,899,730 ",-83.5 ,28.3 ,,,
,일본,"1,275 ","329,652 ",-99.6 ,1.9 ,"426,816 ","2,258,168 ",-81.1 ,18.8 ,,,
,대만,655 ,"109,273 ",-99.4 ,1.0 ,"165,525 ","837,171 ",-80.2 ,7.3 ,,,
,홍콩,167 ,"65,958 ",-99.7 ,0.2 ,"88,556 ","453,128 ",-80.5 ,3.9 ,,,
,마카오,9 ,"6,321 ",-99.9 ,0.0 ,"5,887 ","31,993 ",-81.6 ,0.3 ,,,
,필리핀,"7,362 ","41,817 ",-82.4 ,10.7 ,"78,752 ","327,201 ",-75.9 ,3.5 ,,,
,인도네시아,"2,830 ","18,210 ",-84.5 ,4.1 ,"51,623 ","177,296 ",-70.9 ,2.3 ,,,
,태국,781 ,"32,830 ",-97.6 ,1.1 ,"74,811 ","363,832 ",-79.4 ,3.3 ,,,
,베트남,"1,938 ","43,583 ",-95.6 ,2.8 ,"76,601 ","371,383 ",-79.4 ,3.4 ,,,
,인도,"2,060 ","17,001 ",-87.9 ,3.0 ,"24,853 ","95,099 ",-73.9 ,1.1 ,,,
,말레이시아,276 ,"20,520 ",-98.7 ,0.4 ,"47,755 ","228,170 ",-79.1 ,2.1 ,,,
,싱가포르,124 ,"13,008 ",-99.0 ,0.2 ,"17,181 ","133,916 ",-87.2 ,0.8 ,,,
,몽골,561 ,"9,626 ",-94.2 ,0.8 ,"20,856 ","70,917 ",-70.6 ,0.9 ,,,
,우즈베키스탄,64 ,"7,983 ",-99.2 ,0.1 ,"14,888 ","58,208 ",-74.4 ,0.7 ,,,
,미얀마,"4,141 ","5,523 ",-25.0 ,6.0 ,"22,880 ","48,752 ",-53.1 ,1.0 ,,,
,GCC,81 ,"5,285 ",-98.5 ,0.1 ,"3,296 ","25,129 ",-86.9 ,0.1 ,,,
,카자흐스탄,329 ,"4,948 ",-93.4 ,0.5 ,"9,198 ","36,196 ",-74.6 ,0.4 ,,,
,터키,439 ,"3,015 ",-85.4 ,0.6 ,"5,130 ","20,212 ",-74.6 ,0.2 ,,,
,캄보디아,178 ,"2,619 ",-93.2 ,0.3 ,"9,625 ","27,389 ",-64.9 ,0.4 ,,,
,스리랑카,166 ,"1,916 ",-91.3 ,0.2 ,"4,246 ","12,403 ",-65.8 ,0.2 ,,,
,방글라데시,278 ,"1,868 ",-85.1 ,0.4 ,"3,736 ","11,474 ",-67.4 ,0.2 ,,,
,파키스탄,94 ,"1,191 ",-92.1 ,0.1 ,"3,275 ","9,082 ",-63.9 ,0.1 ,,,
,이스라엘,36 ,"1,110 ",-96.8 ,0.1 ,"1,302 ","10,179 ",-87.2 ,0.1 ,,,
,이란,55 ,526 ,-89.5 ,0.1 ,464 ,"2,692 ",-82.8 ,0.0 ,,,
,아시아 기타,301 ,"6,449 ",-95.3 ,0.4 ,"12,551 ","46,694 ",-73.1 ,0.6 ,,,
,아시아주소계,"40,475","1,328,344",-97.0 ,58.8 ,"1,812,292 ","9,556,414 ",-81.0 ,79.9 ,,,
미주,미국,"13,368 ","86,586 ",-84.6 ,19.4 ,"170,423 ","692,495 ",-75.4 ,7.5 ,,,
,캐나다,"1,164 ","16,700 ",-93.0 ,1.7 ,"29,316 ","134,417 ",-78.2 ,1.3 ,,,
,브라질,101 ,"2,188 ",-95.4 ,0.1 ,"3,595 ","14,989 ",-76.0 ,0.2 ,,,
,멕시코,236 ,"2,809 ",-91.6 ,0.3 ,"4,651 ","19,775 ",-76.5 ,0.2 ,,,
,미주 기타,192 ,"4,200 ",-95.4 ,0.3 ,"6,160 ","26,914 ",-77.1 ,0.3 ,,,
,미주소계,"15,061","112,483",-86.6 ,21.9 ,"214,145 ","888,590 ",-75.9 ,9.4 ,,,
구주,러시아,"2,086 ","28,700 ",-92.7 ,3.0 ,"65,378 ","226,134 ",-71.1 ,2.9 ,,,
,영국,619 ,"13,116 ",-95.3 ,0.9 ,"18,212 ","94,163 ",-80.7 ,0.8 ,,,
,독일,"1,580 ","11,159 ",-85.8 ,2.3 ,"19,658 ","77,615 ",-74.7 ,0.9 ,,,
,프랑스,"1,799 ","12,984 ",-86.1 ,2.6 ,"15,558 ","73,143 ",-78.7 ,0.7 ,,,
,이탈리아,229 ,"5,915 ",-96.1 ,0.3 ,"5,670 ","32,374 ",-82.5 ,0.2 ,,,
,네덜란드,772 ,"3,961 ",-80.5 ,1.1 ,"8,501 ","25,963 ",-67.3 ,0.4 ,,,
,우크라이나,"1,000 ","2,904 ",-65.6 ,1.5 ,"7,772 ","18,756 ",-58.6 ,0.3 ,,,
,스페인,189 ,"4,554 ",-95.8 ,0.3 ,"3,297 ","20,039 ",-83.5 ,0.1 ,,,
,루마니아,251 ,"1,432 ",-82.5 ,0.4 ,"2,316 ","8,493 ",-72.7 ,0.1 ,,,
,노르웨이,64 ,803 ,-92.0 ,0.1 ,"1,311 ","7,998 ",-83.6 ,0.1 ,,,
