2020. 8. 관광통계,,,,,,,,,,,,
,,,,,,,,,"(단위: 명, %)",,,
,스웨덴,123 ,"1,490 ",-91.7 ,0.2 ,"1,942 ","12,506 ",-84.5 ,0.1 ,,,
,폴란드,394 ,"2,326 ",-83.1 ,0.6 ,"4,234 ","15,591 ",-72.8 ,0.2 ,,,
,스위스,122 ,"1,664 ",-92.7 ,0.2 ,"1,684 ","11,601 ",-85.5 ,0.1 ,,,
,포르투갈,52 ,"1,342 ",-96.1 ,0.1 ,"1,458 ","7,333 ",-80.1 ,0.1 ,,,
,오스트리아,157 ,"1,218 ",-87.1 ,0.2 ,"1,981 ","7,846 ",-74.8 ,0.1 ,,,
,핀란드,239 ,"1,075 ",-77.8 ,0.3 ,"2,310 ","8,904 ",-74.1 ,0.1 ,,,
,벨기에,166 ,"1,305 ",-87.3 ,0.2 ,"2,017 ","9,533 ",-78.8 ,0.1 ,,,
,크로아티아,115 ,614 ,-81.3 ,0.2 ,"1,543 ","4,046 ",-61.9 ,0.1 ,,,
,그리스,264 ,778 ,-66.1 ,0.4 ,"2,348 ","6,074 ",-61.3 ,0.1 ,,,
,불가리아,149 ,751 ,-80.2 ,0.2 ,"1,041 ","4,335 ",-76.0 ,0.0 ,,,
,덴마크,141 ,"1,045 ",-86.5 ,0.2 ,"1,778 ","8,505 ",-79.1 ,0.1 ,,,
,아일랜드,59 ,932 ,-93.7 ,0.1 ,"1,469 ","6,228 ",-76.4 ,0.1 ,,,
,구주 기타,577 ,"4,668 ",-87.6 ,0.8 ,"7,524 ","29,527 ",-74.5 ,0.3 ,,,
,구주소계,"11,147","104,736",-89.4 ,16.2 ,"179,002 ","716,707 ",-75.0 ,7.9 ,,,
대양주,오스트레일리아,156 ,"13,647 ",-98.9 ,0.2 ,"22,389 ","107,063 ",-79.1 ,1.0 ,,,
,뉴질랜드,119 ,"3,112 ",-96.2 ,0.2 ,"6,186 ","23,471 ",-73.6 ,0.3 ,,,
,대양주 기타,41 ,609 ,-93.3 ,0.1 ,537 ,"4,360 ",-87.7 ,0.0 ,,,
,대양주소계,316,"17,368",-98.2 ,0.5 ,"29,112 ","134,894 ",-78.4 ,1.3 ,,,
아프리카,남아프리카공화국,95 ,"1,887 ",-95.0 ,0.1 ,"2,787 ","9,152 ",-69.5 ,0.1 ,,,
,아프리카 기타,664 ,"4,864 ",-86.3 ,1.0 ,"8,557 ","29,948 ",-71.4 ,0.4 ,,,
,아프리카소계,759,"6,751",-88.8 ,1.1 ,"11,344 ","39,100 ",-71.0 ,0.5 ,,,
기타,국적미상,3,57,-94.7 ,0.0 ,135 ,445 ,-69.7 ,0.0 ,,,
교포,교포,"1,036","16,560",-93.7 ,1.5 ,"22,355 ","137,430 ",-83.7 ,1.0 ,,,
"*GCC 6개국(UAE, 사우디아라비아, 쿠웨이트, 오만, 카타르, 바레인)",,,,,,,,,,,,
