2020년 8월 관광객입도현황,,,,,,
□ 형태별,,,,,,(단위 : 명)
구                  분,,,, 2020년 ,2019년,증감율(%)
총                  계,,,월계,"1,133,095","1,421,455",-20.3
,,,누계,"6,658,960","10,067,134",-33.9
내국인,소              계,,월계,"1,127,097","1,243,132",-9.3
,,,누계,"6,463,623","8,951,567",-27.8
,개 별 여 행,,월계,"1,077,542","1,109,760",-2.9
,,,누계,"6,253,383","7,201,192",-13.2
,부분패키지,,월계,"22,866","84,932",-73.1
,,,누계,"140,959","1,240,658",-88.6
,패  키  지,,월계,"26,689","48,440",-44.9
,,,누계,"69,281","509,717",-86.4
외       국       인,,,월계,"5,998","178,323",-96.6
,,,누계,"195,337","1,115,567",-82.5
,,,,,,
□ 목적별,,,,,,(단위 : 명)
구                  분,,,, 2020년 , 2019년 ,증감율(%)
총                  계,,,월계,"1,133,095","1,421,455",-20.3
,,,누계,"6,658,960","10,067,134",-33.9
내   국   인,소              계,,월계,"1,127,097","1,243,132",-9.3
,,,누계,"6,463,623","8,951,567",-27.8
,레 저 스 포 츠,,월계,"47,232","149,354",-68.4
,,,누계,"388,304","1,085,092",-64.2
,회 의 및 업 무,,월계,"45,202","39,634",14
,,,누계,"456,183","476,726",-4.3
,휴 양 및 관 람,,월계,"999,753","1,024,831",-2.4
,,,누계,"4,952,346","6,739,804",-26.5
,친  지  방  문,,월계,"26,589","16,986",56.5
,,,누계,"580,032","417,935",38.8
,교  육  여  행,,월계,100,"3,144",-96.8
,,,누계,364,"168,957",-99.8
,기  타  방  문,,월계,"8,221","9,183",-10.5
,,,누계,"86,394","63,053",37
외    국    인,소              계,,월계,"5,998","178,323",-96.6
,,,누계,"195,337","1,115,567",-82.5
,아시아,일          본,월계,59,"12,213",-99.5
,,,누계,"7,414","63,154",-88.3
,,중          국,월계,683,"120,043",-99.4
,,,누계,"101,014","679,094",-85.1
,,홍          콩,월계,68,"5,696",-98.8
,,,누계,"10,065","37,080",-72.9
,,대          만,월계,67,"8,250",-99.2
,,,누계,"10,058","61,409",-83.6
,,싱    가    폴,월계,96,"1,382",-93.1
,,,누계,"2,534","18,209",-86.1
,,말 레 이 시 아,월계,294,"3,530",-91.7
,,,누계,"9,594","42,291",-77.3
,,인 도 네 시 아,월계,304,"1,753",-82.7
,,,누계,"4,547","15,818",-71.3
,,베    트    남,월계,70,"1,827",-96.2
,,,누계,"4,156","19,645",-78.8
,,태         국,월계,226,"4,850",-95.3
,,,누계,"10,859","34,146",-68.2
,,기          타,월계,977,"5,869",-83.4
,,,누계,"8,613","36,851",-76.6
,서구등,미          국,월계,842,"2,996",-71.9
,,,누계,"6,980","27,247",-74.4
,,기          타,월계,"2,312","9,914",-76.7
,,,누계,"19,503","80,623",-75.8
