2020년 3월 관광객입도현황,,,,,,
□ 형태별,,,,,,(단위 : 명)
구                  분,,,, 2020년 ,2019년,증감율(%)
총                  계,,,월계,"480,762","1,164,834",-58.7
,,,누계,"2,359,612","3,406,494",-30.7
내국인,소              계,,월계,"477,176","1,038,223",-54
,,,누계,"2,181,189","3,061,243",-28.7
,개 별 여 행,,월계,"468,096","837,709",-44.1
,,,누계,"2,077,697","2,459,316",-15.5
,부분패키지,,월계,"7,945","165,242",-95.2
,,,누계,"78,204","442,028",-82.3
,패  키  지,,월계,"1,135","35,272",-96.8
,,,누계,"25,288","159,899",-84.2
외       국       인,,,월계,"3,586","126,611",-97.2
,,,누계,"178,423","345,251",-48.3
,,,,,,
□ 목적별,,,,,,(단위 : 명)
구                  분,,,, 2020년 , 2019년 ,증감율(%)
총                  계,,,월계,"480,762","1,164,834",-58.7
,,,누계,"2,359,612","3,406,494",-30.7
내   국   인,소              계,,월계,"477,176","1,038,223",-54
,,,누계,"2,181,189","3,061,243",-28.7
,레 저 스 포 츠,,월계,"27,280","171,844",-84.1
,,,누계,"178,212","397,162",-55.1
,회 의 및 업 무,,월계,"54,477","85,051",-35.9
,,,누계,"171,430","180,435",-5
,휴 양 및 관 람,,월계,"324,593","699,855",-53.6
,,,누계,"1,556,098","2,295,818",-32.2
,친  지  방  문,,월계,"56,747","60,751",-6.6
,,,누계,"233,219","149,542",56
,교  육  여  행,,월계, - ,"13,402",0
,,,누계,144,"14,089",-99
,기  타  방  문,,월계,"14,079","7,320",92.3
,,,누계,"42,086","24,197",73.9
외    국    인,소              계,,월계,"3,586","126,611",-97.2
,,,누계,"178,423","345,251",-48.3
,아시아,일          본,월계,180,"6,109",-97.1
,,,누계,"7,234","15,483",-53.3
,,중          국,월계,471,"73,532",-99.4
,,,누계,"98,718","204,772",-51.8
,,홍          콩,월계,201,"3,879",-94.8
,,,누계,"9,900","9,329",6.1
,,대          만,월계,154,"6,877",-97.8
,,,누계,"9,815","17,709",-44.6
,,싱    가    폴,월계,192,"2,040",-90.6
,,,누계,"2,253","5,629",-60
,,말 레 이 시 아,월계,349,"5,854",-94
,,,누계,"8,885","14,627",-39.3
,,인 도 네 시 아,월계,217,"2,375",-90.9
,,,누계,"3,811","6,033",-36.8
,,베    트    남,월계,245,"2,366",-89.6
,,,누계,"3,759","7,567",-50.3
,,태         국,월계,169,"4,825",-96.5
,,,누계,"10,338","14,182",-27.1
,,기          타,월계,244,"5,552",-95.6
,,,누계,"6,066","13,197",-54
,서구등,미          국,월계,272,"2,771",-90.2
,,,누계,"4,400","8,796",-50
,,기          타,월계,892,"10,431",-91.4
,,,누계,"13,244","27,927",-52.6
