2020년 2월 관광객입도현황,,,,,,
□ 형태별,,,,,,(단위 : 명)
구                  분,,,, 2020년 ,2019년,증감율(%)
총                  계,,,월계,"628,804","1,110,817",-43.4
,,,누계,"1,878,850","2,241,660",-16.2
내국인,소              계,,월계,"599,575","998,890",-40
,,,누계,"1,704,013","2,023,020",-15.8
,개 별 여 행,,월계,"581,380","704,981",-17.5
,,,누계,"1,609,601","1,621,607",-0.7
,부분패키지,,월계,"15,921","199,100",-92
,,,누계,"70,259","276,786",-74.6
,패  키  지,,월계,"2,274","94,809",-97.6
,,,누계,"24,153","124,627",-80.6
외       국       인,,,월계,"29,229","111,927",-73.9
,,,누계,"174,837","218,640",-20
,,,,,,
□ 목적별,,,,,,(단위 : 명)
구                  분,,,, 2020년 , 2019년 ,증감율(%)
총                  계,,,월계,"628,804","1,110,817",-43.4
,,,누계,"1,878,850","2,241,660",-16.2
내   국   인,소              계,,월계,"599,575","998,890",-40
,,,누계,"1,704,013","2,023,020",-15.8
,레 저 스 포 츠,,월계,"30,042","114,782",-73.8
,,,누계,"150,932","225,318",-33
,회 의 및 업 무,,월계,"76,200","71,107",7.2
,,,누계,"116,953","95,384",22.6
,휴 양 및 관 람,,월계,"408,295","760,851",-46.3
,,,누계,"1,231,505","1,595,963",-22.8
,친  지  방  문,,월계,"70,514","42,665",65.3
,,,누계,"176,472","88,791",98.7
,교  육  여  행,,월계, - , - ,0
,,,누계,144,687,-79
,기  타  방  문,,월계,"14,524","9,485",53.1
,,,누계,"28,007","16,877",65.9
외    국    인,소              계,,월계,"29,229","111,927",-73.9
,,,누계,"174,837","218,640",-20
,아시아,일          본,월계,"2,438","4,229",-42.4
,,,누계,"7,054","9,374",-24.7
,,중          국,월계,"3,919","69,351",-94.3
,,,누계,"98,247","131,240",-25.1
,,홍          콩,월계,"3,066","2,906",5.5
,,,누계,"9,699","5,450",78
,,대          만,월계,"3,351","5,449",-38.5
,,,누계,"9,661","10,832",-10.8
,,싱    가    폴,월계,387,"1,764",-78.1
,,,누계,"2,061","3,589",-42.6
,,말 레 이 시 아,월계,"3,407","4,573",-25.5
,,,누계,"8,536","8,773",-2.7
,,인 도 네 시 아,월계,931,"1,327",-29.8
,,,누계,"3,594","3,658",-1.7
,,베    트    남,월계,701,"2,469",-71.6
,,,누계,"3,514","5,201",-32.4
,,태         국,월계,"4,285","4,195",2.1
,,,누계,"10,169","9,357",8.7
,,기          타,월계,"1,554","3,572",-56.5
,,,누계,"5,822","7,645",-23.8
,서구등,미          국,월계,"1,292","3,051",-57.7
,,,누계,"4,128","6,025",-31.5
,,기          타,월계,"3,898","9,041",-56.9
,,,누계,"12,352","17,496",-29.4
