2020년 9월 관광객입도현황,,,,,,
□ 형태별,,,,,,(단위 : 명)
구                  분,,,, 2020년 ,2019년,증감율(%)
총                  계,,,월계,"729,677","1,181,516",-38.2
,,,누계,"7,388,637","11,248,650",-34.3
내국인,소              계,,월계,"726,169","1,032,478",-29.7
,,,누계,"7,189,792","9,984,045",-28
,개 별 여 행,,월계,"707,026","834,467",-15.3
,,,누계,"6,960,409","8,035,659",-13.4
,부분패키지,,월계,"13,942","140,645",-90.1
,,,누계,"154,901","1,381,303",-88.8
,패  키  지,,월계,"5,201","57,366",-90.9
,,,누계,"74,482","567,083",-86.9
외       국       인,,,월계,"3,508","149,038",-97.6
,,,누계,"198,845","1,264,605",-84.3
,,,,,,
□ 목적별,,,,,,(단위 : 명)
구                  분,,,, 2020년 , 2019년 ,증감율(%)
총                  계,,,월계,"729,677","1,181,516",-38.2
,,,누계,"7,388,637","11,248,650",-34.3
내   국   인,소              계,,월계,"726,169","1,032,478",-29.7
,,,누계,"7,189,792","9,984,045",-28
,레 저 스 포 츠,,월계,"52,730","67,494",-21.9
,,,누계,"441,034","1,152,586",-61.7
,회 의 및 업 무,,월계,"39,936","64,248",-37.8
,,,누계,"496,119","540,974",-8.3
,휴 양 및 관 람,,월계,"547,341","796,500",-31.3
,,,누계,"5,499,687","7,536,304",-27
,친  지  방  문,,월계,"74,683","68,554",8.9
,,,누계,"654,715","486,489",34.6
,교  육  여  행,,월계, - ,"20,301",-100
,,,누계,364,"189,258",-99.8
,기  타  방  문,,월계,"11,479","15,381",-25.4
,,,누계,"97,873","78,434",24.8
외    국    인,소              계,,월계,"3,508","149,038",-97.6
,,,누계,"198,845","1,264,605",-84.3
,아시아,일          본,월계,41,"8,024",-99.5
,,,누계,"7,455","71,178",-89.5
,,중          국,월계,565,"100,439",-99.4
,,,누계,"101,579","779,533",-87
,,홍          콩,월계,41,"4,566",-99.1
,,,누계,"10,106","41,646",-75.7
,,대          만,월계,41,"6,500",-99.4
,,,누계,"10,099","67,909",-85.1
,,싱    가    폴,월계,70,"2,177",-96.8
,,,누계,"2,604","20,386",-87.2
,,말 레 이 시 아,월계,138,"5,086",-97.3
,,,누계,"9,732","47,377",-79.5
,,인 도 네 시 아,월계,91,"1,049",-91.3
,,,누계,"4,638","16,867",-72.5
,,베    트    남,월계,138,"1,542",-91.1
,,,누계,"4,294","21,187",-79.7
,,태         국,월계,132,"4,889",-97.3
,,,누계,"10,991","39,035",-71.8
,,기          타,월계,522,"3,597",-85.5
,,,누계,"9,135","40,448",-77.4
,서구등,미          국,월계,420,"2,781",-84.9
,,,누계,"7,400","30,028",-75.4
,,기          타,월계,"1,309","8,388",-84.4
,,,누계,"20,812","89,011",-76.6
