2020년 6월 관광객입도현황,,,,,,
□ 형태별,,,,,,(단위 : 명)
구                  분,,,, 2020년 ,2019년,증감율(%)
총                  계,,,월계,"863,417","1,307,217",-33.9
,,,누계,"4,533,389","7,335,603",-38.2
내국인,소              계,,월계,"860,528","1,155,020",-25.5
,,,누계,"4,348,432","6,550,988",-33.6
,개 별 여 행,,월계,"846,253","914,476",-7.5
,,,누계,"4,207,446","5,166,795",-18.6
,부분패키지,,월계,"8,157","192,687",-95.8
,,,누계,"105,219","955,564",-89
,패  키  지,,월계,"6,118","47,857",-87.2
,,,누계,"35,767","428,629",-91.7
외       국       인,,,월계,"2,889","152,197",-98.1
,,,누계,"184,957","784,615",-76.4
,,,,,,
□ 목적별,,,,,,(단위 : 명)
구                  분,,,, 2020년 , 2019년 ,증감율(%)
총                  계,,,월계,"863,417","1,307,217",-33.9
,,,누계,"4,533,389","7,335,603",-38.2
내   국   인,소              계,,월계,"860,528","1,155,020",-25.5
,,,누계,"4,348,432","6,550,988",-33.6
,레 저 스 포 츠,,월계,"27,181","156,384",-82.6
,,,누계,"291,330","876,767",-66.8
,회 의 및 업 무,,월계,"59,140","53,699",10.1
,,,누계,"342,253","374,027",-8.5
,휴 양 및 관 람,,월계,"681,136","852,915",-20.1
,,,누계,"3,203,143","4,769,003",-32.8
,친  지  방  문,,월계,"87,691","75,809",15.7
,,,누계,"443,678","324,174",36.9
,교  육  여  행,,월계, - ,"13,114",-100
,,,누계,264,"163,327",-99.8
,기  타  방  문,,월계,"5,380","3,099",73.6
,,,누계,"67,764","43,690",55.1
외    국    인,소              계,,월계,"2,889","152,197",-98.1
,,,누계,"184,957","784,615",-76.4
,아시아,일          본,월계,11,"10,574",-99.9
,,,누계,"7,321","42,466",-82.8
,,중          국,월계,434,"94,834",-99.5
,,,누계,"99,859","456,359",-78.1
,,홍          콩,월계,31,"5,632",-99.4
,,,누계,"9,981","26,027",-61.7
,,대          만,월계,56,"6,573",-99.1
,,,누계,"9,950","44,240",-77.5
,,싱    가    폴,월계,53,"4,801",-98.9
,,,누계,"2,390","15,162",-84.2
,,말 레 이 시 아,월계,140,"7,089",-98
,,,누계,"9,152","34,688",-73.6
,,인 도 네 시 아,월계,148,"2,641",-94.4
,,,누계,"4,115","12,655",-67.5
,,베    트    남,월계,80,"3,098",-97.4
,,,누계,"3,991","15,969",-75
,,태         국,월계,41,"1,214",-96.6
,,,누계,"10,514","26,609",-60.5
,,기          타,월계,439,"4,446",-90.1
,,,누계,"6,940","26,896",-74.2
,서구등,미          국,월계,465,"2,498",-81.4
,,,누계,"5,259","21,400",-75.4
,,기          타,월계,991,"8,797",-88.7
,,,누계,"15,485","62,144",-75.1
