2020년 4월 관광객입도현황,,,,,,
□ 형태별,,,,,,(단위 : 명)
구                  분,,,, 2020년 ,2019년,증감율(%)
총                  계,,,월계,"542,258","1,298,026",-58.2
,,,누계,"2,901,870","4,704,520",-38.3
내국인,소              계,,월계,"541,099","1,158,666",-53.3
,,,누계,"2,722,288","4,219,909",-35.5
,개 별 여 행,,월계,"533,225","908,639",-41.3
,,,누계,"2,610,922","3,367,955",-22.5
,부분패키지,,월계,"5,400","174,689",-96.9
,,,누계,"83,604","616,717",-86.4
,패  키  지,,월계,"2,474","75,338",-96.7
,,,누계,"27,762","235,237",-88.2
외       국       인,,,월계,"1,159","139,360",-99.2
,,,누계,"179,582","484,611",-62.9
,,,,,,
□ 목적별,,,,,,(단위 : 명)
구                  분,,,, 2020년 , 2019년 ,증감율(%)
총                  계,,,월계,"542,258","1,298,026",-58.2
,,,누계,"2,901,870","4,704,520",-38.3
내   국   인,소              계,,월계,"541,099","1,158,666",-53.3
,,,누계,"2,722,288","4,219,909",-35.5
,레 저 스 포 츠,,월계,"28,394","194,187",-85.4
,,,누계,"206,606","591,349",-65.1
,회 의 및 업 무,,월계,"53,859","89,367",-39.7
,,,누계,"225,289","269,802",-16.5
,휴 양 및 관 람,,월계,"381,297","745,744",-48.9
,,,누계,"1,937,395","3,041,562",-36.3
,친  지  방  문,,월계,"67,017","68,145",-1.7
,,,누계,"300,236","217,687",37.9
,교  육  여  행,,월계, - ,"52,616",0
,,,누계,144,"66,705",-99.8
,기  타  방  문,,월계,"10,532","8,607",22.4
,,,누계,"52,618","32,804",60.4
외    국    인,소              계,,월계,"1,159","139,360",-99.2
,,,누계,"179,582","484,611",-62.9
,아시아,일          본,월계,46,"6,751",-99.3
,,,누계,"7,280","22,234",-67.3
,,중          국,월계,276,"72,420",-99.6
,,,누계,"98,994","277,192",-64.3
,,홍          콩,월계,10,"5,509",-99.8
,,,누계,"9,910","14,838",-33.2
,,대          만,월계,32,"10,263",-99.7
,,,누계,"9,847","27,972",-64.8
,,싱    가    폴,월계,9,"2,156",-99.6
,,,누계,"2,262","7,785",-70.9
,,말 레 이 시 아,월계,19,"6,935",-99.7
,,,누계,"8,904","21,562",-58.7
,,인 도 네 시 아,월계,41,"2,143",-98.1
,,,누계,"3,852","8,176",-52.9
,,베    트    남,월계,57,"3,135",-98.2
,,,누계,"3,816","10,702",-64.3
,,태         국,월계,42,"5,528",-99.2
,,,누계,"10,380","19,710",-47.3
,,기          타,월계,117,"4,965",-97.6
,,,누계,"6,183","18,162",-66
,서구등,미          국,월계,121,"5,769",-97.9
,,,누계,"4,521","14,565",-69
,,기          타,월계,389,"13,786",-97.2
,,,누계,"13,633","41,713",-67.3
