2020. 11. 관광통계,,,,,,,,,,,,
,,,,,,,,,"(단위: 명, %)",,,
대륙,국적,11월,,,,1~11월,,,,,,
,,2020,2019,증감률,구성비,2020,2019,증감률,구성비,,,
전체 방한 외래관광객 수,,"61,764","1,456,429",-95.8 ,100.0 ,"2,456,774 ","16,045,868 ",-84.7 ,100.0 ,,,
전체 국민 해외관광객 수,,"70,686","2,090,192",-96.6 ,100.0 ,"4,195,033 ","26,371,937 ",-84.1 ,100.0 ,,,
아시아주,중국,"9,174 ","505,369 ",-98.2 ,14.9 ,"678,443 ","5,514,144 ",-87.7 ,27.6 ,,,
,일본,"1,254 ","258,522 ",-99.5 ,2.0 ,"429,791 ","3,016,350 ",-85.8 ,17.5 ,,,
,대만,299 ,"102,241 ",-99.7 ,0.5 ,"166,452 ","1,170,114 ",-85.8 ,6.8 ,,,
,홍콩,89 ,"58,600 ",-99.8 ,0.1 ,"88,819 ","623,183 ",-85.7 ,3.6 ,,,
,마카오,2 ,"4,896 ",-100.0 ,0.0 ,"5,902 ","44,120 ",-86.6 ,0.2 ,,,
,필리핀,"9,700 ","41,739 ",-76.8 ,15.7 ,"105,978 ","460,586 ",-77.0 ,4.3 ,,,
,인도네시아,"3,723 ","23,760 ",-84.3 ,6.0 ,"61,972 ","248,859 ",-75.1 ,2.5 ,,,
,태국,391 ,"49,998 ",-99.2 ,0.6 ,"76,185 ","515,760 ",-85.2 ,3.1 ,,,
,베트남,"1,269 ","43,190 ",-97.1 ,2.1 ,"80,170 ","523,010 ",-84.7 ,3.3 ,,,
,인도,"1,938 ","12,184 ",-84.1 ,3.1 ,"31,547 ","133,159 ",-76.3 ,1.3 ,,,
,말레이시아,168 ,"49,282 ",-99.7 ,0.3 ,"48,289 ","350,826 ",-86.2 ,2.0 ,,,
,싱가포르,216 ,"27,546 ",-99.2 ,0.3 ,"17,628 ","203,926 ",-91.4 ,0.7 ,,,
,몽골,171 ,"10,519 ",-98.4 ,0.3 ,"21,341 ","103,557 ",-79.4 ,0.9 ,,,
,우즈베키스탄,95 ,"7,176 ",-98.7 ,0.2 ,"15,599 ","82,815 ",-81.2 ,0.6 ,,,
,미얀마,"4,765 ","5,660 ",-15.8 ,7.7 ,"37,479 ","66,822 ",-43.9 ,1.5 ,,,
,GCC,158 ,"2,575 ",-93.9 ,0.3 ,"3,728 ","32,595 ",-88.6 ,0.2 ,,,
,카자흐스탄,299 ,"3,697 ",-91.9 ,0.5 ,"9,988 ","49,578 ",-79.9 ,0.4 ,,,
,터키,356 ,"2,881 ",-87.6 ,0.6 ,"6,175 ","28,788 ",-78.6 ,0.3 ,,,
