2020. 11. 관광통계,,,,,,,,,,,,
,,,,,,,,,"(단위: 명, %)",,,
,캄보디아,278 ,"3,555 ",-92.2 ,0.5 ,"10,297 ","37,912 ",-72.8 ,0.4 ,,,
,스리랑카,138 ,"1,070 ",-87.1 ,0.2 ,"4,862 ","17,025 ",-71.4 ,0.2 ,,,
,방글라데시,212 ,"1,286 ",-83.5 ,0.3 ,"4,378 ","16,355 ",-73.2 ,0.2 ,,,
,파키스탄,67 ,"1,011 ",-93.4 ,0.1 ,"3,468 ","12,562 ",-72.4 ,0.1 ,,,
,이스라엘,59 ,"1,427 ",-95.9 ,0.1 ,"1,410 ","16,263 ",-91.3 ,0.1 ,,,
,이란,25 ,402 ,-93.8 ,0.0 ,552 ,"4,041 ",-86.3 ,0.0 ,,,
,아시아 기타,272 ,"6,576 ",-95.9 ,0.4 ,"13,817 ","67,461 ",-79.5 ,0.6 ,,,
,아시아주소계,"35,118","1,225,162",-97.1 ,56.9 ,"1,924,270 ","13,339,811 ",-85.6 ,78.3 ,,,
미주,미국,"13,100 ","82,238 ",-84.1 ,21.2 ,"208,315 ","966,651 ",-78.4 ,8.5 ,,,
,캐나다,"1,294 ","16,862 ",-92.3 ,2.1 ,"33,290 ","190,116 ",-82.5 ,1.4 ,,,
,브라질,74 ,"1,916 ",-96.1 ,0.1 ,"3,850 ","21,855 ",-82.4 ,0.2 ,,,
,멕시코,348 ,"2,408 ",-85.5 ,0.6 ,"5,408 ","28,099 ",-80.8 ,0.2 ,,,
,미주 기타,150 ,"3,282 ",-95.4 ,0.2 ,"6,542 ","39,453 ",-83.4 ,0.3 ,,,
,미주소계,"14,966","106,706",-86.0 ,24.2 ,"257,405 ","1,246,174 ",-79.3 ,10.5 ,,,
구주,러시아,"1,806 ","26,708 ",-93.2 ,2.9 ,"71,124 ","316,487 ",-77.5 ,2.9 ,,,
,영국,661 ,"11,542 ",-94.3 ,1.1 ,"19,865 ","134,941 ",-85.3 ,0.8 ,,,
,독일,"1,132 ","9,819 ",-88.5 ,1.8 ,"23,017 ","113,426 ",-79.7 ,0.9 ,,,
,프랑스,958 ,"8,111 ",-88.2 ,1.6 ,"18,473 ","104,042 ",-82.2 ,0.8 ,,,
,이탈리아,247 ,"4,422 ",-94.4 ,0.4 ,"6,294 ","46,260 ",-86.4 ,0.3 ,,,
,네덜란드,986 ,"3,188 ",-69.1 ,1.6 ,"11,406 ","36,679 ",-68.9 ,0.5 ,,,
,우크라이나,"1,103 ","2,146 ",-48.6 ,1.8 ,"10,566 ","25,487 ",-58.5 ,0.4 ,,,
,스페인,109 ,"2,610 ",-95.8 ,0.2 ,"3,581 ","28,923 ",-87.6 ,0.1 ,,,
,루마니아,262 ,"1,040 ",-74.8 ,0.4 ,"3,014 ","12,007 ",-74.9 ,0.1 ,,,
,노르웨이,68 ,837 ,-91.9 ,0.1 ,"1,487 ","11,107 ",-86.6 ,0.1 ,,,
,스웨덴,76 ,"1,600 ",-95.3 ,0.1 ,"2,149 ","18,419 ",-88.3 ,0.1 ,,,
,폴란드,351 ,"2,019 ",-82.6 ,0.6 ,"5,256 ","22,506 ",-76.6 ,0.2 ,,,
,스위스,60 ,"1,172 ",-94.9 ,0.1 ,"1,845 ","16,833 ",-89.0 ,0.1 ,,,
,포르투갈,79 ,976 ,-91.9 ,0.1 ,"1,596 ","10,422 ",-84.7 ,0.1 ,,,
,오스트리아,118 ,"1,113 ",-89.4 ,0.2 ,"2,310 ","11,789 ",-80.4 ,0.1 ,,,
,핀란드,200 ,"1,206 ",-83.4 ,0.3 ,"2,865 ","12,847 ",-77.7 ,0.1 ,,,
,벨기에,139 ,"1,205 ",-88.5 ,0.2 ,"2,379 ","13,785 ",-82.7 ,0.1 ,,,
,크로아티아,137 ,543 ,-74.8 ,0.2 ,"1,930 ","5,581 ",-65.4 ,0.1 ,,,
,그리스,136 ,891 ,-84.7 ,0.2 ,"2,869 ","9,002 ",-68.1 ,0.1 ,,,
,불가리아,210 ,471 ,-55.4 ,0.3 ,"1,462 ","6,094 ",-76.0 ,0.1 ,,,
,덴마크,80 ,"1,120 ",-92.9 ,0.1 ,"1,980 ","12,671 ",-84.4 ,0.1 ,,,
,아일랜드,45 ,768 ,-94.1 ,0.1 ,"1,594 ","9,566 ",-83.3 ,0.1 ,,,
,구주 기타,455 ,"4,053 ",-88.8 ,0.7 ,"8,795 ","42,869 ",-79.5 ,0.4 ,,,
,구주소계,"9,418","87,560",-89.2 ,15.2 ,"205,857 ","1,021,743 ",-79.9 ,8.4 ,,,
대양주,오스트레일리아,238 ,"13,346 ",-98.2 ,0.4 ,"22,942 ","153,929 ",-85.1 ,0.9 ,,,
,뉴질랜드,110 ,"3,365 ",-96.7 ,0.2 ,"6,473 ","34,599 ",-81.3 ,0.3 ,,,
,대양주 기타,30 ,285 ,-89.5 ,0.0 ,652 ,"5,567 ",-88.3 ,0.0 ,,,
,대양주소계,378,"16,996",-97.8 ,0.6 ,"30,067 ","194,095 ",-84.5 ,1.2 ,,,
아프리카,남아프리카공화국,94 ,698 ,-86.5 ,0.2 ,"3,045 ","12,222 ",-75.1 ,0.1 ,,,
,아프리카 기타,704 ,"4,043 ",-82.6 ,1.1 ,"10,513 ","44,037 ",-76.1 ,0.4 ,,,
,아프리카소계,798,"4,741",-83.2 ,1.3 ,"13,558 ","56,259 ",-75.9 ,0.6 ,,,
기타,국적미상,1,31,-96.8 ,0.0 ,141 ,565 ,-75.0 ,0.0 ,,,
교포,교포,"1,085","15,233",-92.9 ,1.8 ,"25,476 ","187,221 ",-86.4 ,1.0 ,,,
"*GCC 6개국(UAE, 사우디아라비아, 쿠웨이트, 오만, 카타르, 바레인)",,,,,,,,,,,,
